train_loss,train_acc,test_loss,test_acc
0.2739996601930397,0.9182699952297663,0.15955751045396654,0.9449745547073791
0.15448250387247364,0.9501510574018127,0.13438026045406531,0.9497455470737913
0.14163244128868627,0.9553983145174113,0.14986427337744362,0.9475190839694656
0.12522039084998227,0.9594530131976466,0.17827414037886685,0.9376590330788804
0.12374943952174358,0.9600890443631738,0.13875027059525402,0.9510178117048346
0.12029216395308805,0.9627126729209732,0.16101533216826125,0.938295165394402
0.11395862479126163,0.9611225950071554,0.12554548668682808,0.9526081424936387
0.1072969792633799,0.9639847352520273,0.1537580340291104,0.9427480916030534
0.10310335994403445,0.9654158053744634,0.18706724567836397,0.9312977099236641
0.1167456968475945,0.963507711877882,0.19478458753281136,0.9338422391857506
0.1050816262495885,0.9654158053744634,0.14515797569780484,0.943384223918575
0.0941831719837645,0.969231992367626,0.13713371275798866,0.9510178117048346
0.09106794924715184,0.9704245508029894,0.1532230211054282,0.9395674300254453
0.0763633637888565,0.9744792494832247,0.13522505599628737,0.9497455470737913
0.06590909370753129,0.977818413102242,0.16132701497624255,0.9440203562340967
0.06450972308814046,0.9779774208936238,0.16679743889554965,0.9405216284987278
0.05705540212633587,0.9800445221815869,0.16765308388245,0.9395674300254453
